"Model", "Absolute price range", "Relative price range", "Least expensive version", "Least expensive version price", "Most expensive version", "Most expensive version price"
"Cannondale CAAD12", "$4,180", "3.49x", "105", "$1,680", "Ultegra", "$2,240"
"Cannondale CAAD8", "$595", "1.73x", "105", "$1,410", "Tiagra", "$1,250"
"Cannondale SuperSix EVO Hi-Mod", "$8,530", "3.00x", "Black Inc.", "$12,790", "Hi-MOD Ultegra", "$4,260"
"Cannondale SuperSix EVO", "$2,100", "2.14x", "105", "$2,240", "Ultegra 4", "$2,660"
"Cannondale Synapse Carbon", "$7,750", "5.21x", "105", "$2,240", "Hi-MOD Dura Ace", "$5,860"
"Cannondale Synapse", "$1,260", "2.45x", "Claris", "$870", "Sora", "$1,030"
"Giant Defy Advanced Pro", "$1,900", "1.59x", "0", "$5,100", "2", "$3,200"
"Giant Defy Advanced SL", "$3,700", "1.80x", "0", "$8,300", "1", "$4,600"
"Giant Defy Advanced", "$800", "1.44x", "1", "$2,600", "3", "$1,800"
"Giant Defy Disc", "$300", "1.25x", "1", "$1,500", "2", "$1,200"
"Giant Defy", "$260", "1.39x", "3", "$920", "5", "$660"
"Giant Propel Advanced Pro", "$0", "1.00x", "0", "$5,650", "0", "$5,650"
"Giant Propel Advanced SL", "$4,600", "2.05x", "0", "$9,000", "2", "$4,400"
"Giant Propel Advanced", "$1,900", "1.90x", "0", "$4,000", "2", "$2,100"
"Giant TCR Advanced Pro", "$2,300", "1.72x", "0", "$5,500", "1", "$3,200"
"Giant TCR Advanced SL", "$4,700", "2.15x", "0", "$8,800", "2", "$4,100"
"Giant TCR Advanced", "$900", "1.56x", "1", "$2,500", "3", "$1,600"
"Specialized Allez", "$3,230", "5.19x", "Sprint X2 Specialized Edition", "$4,000", "E5", "$770"
"Specialized Amira", "$6,000", "4.00x", "S-Works SL4", "$8,000", "SL4 Sport", "$2,000"
"Specialized Diverge", "$4,650", "6.47x", "Pro", "$5,500", "Comp DSW X1", "$2,600"
"Specialized Dolce", "$1,330", "2.73x", "Comp EVO", "$2,100", "base", "$770"
"Specialized Roubaix", "$6,700", "4.72x", "S-Works SL4 Disc Di2", "$8,500", "SL4", "$1,800"
"Specialized Ruby", "$6,450", "4.58x", "S-Works Di2", "$8,250", "base", "$1,800"
"Specialized Tarmac", "$7,500", "4.75x", "S-Works eTap", "$9,500", "Comp UDi2", "$3,300"
"Specialized Venge", "$10,100", "4.61x", "S-Works ViAS Di2", "$12,900", "Elite", "$2,800"
"Trek 1 Series", "$160", "1.21x", "1.1", "$770", "1.2", "$930"
"Trek Domane", "$9,640", "8.09x", "2.0", "$1,360", "SLR 9 eTap", "$11,000"
"Trek Emonda ALR", "$590", "1.45x", "4", "$1,310", "6", "$1,900"
"Trek Emonda", "$10,510", "7.69x", "S 4 / Women's", "$1,570", "SLR 9 Women's", "$8,500"
"Trek Lexa", "$800", "2.04x", "S", "$990", "base", "$770"
"Trek Madone", "$7,000", "2.17x", "9.2", "$6,000", "Race Shop Limited", "$13,000"
"Trek Silque", "$2,900", "2.38x", "S", "$2,470", "base", "$2,100"
